2018-01-17 18:01:43,164 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 18:06:53,573 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 18:07:12,861 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 18:08:35,970 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 18:32:39,081 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 18:32:39,255 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 18:41:20,711 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 18:41:20,837 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 18:46:11,349 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 18:49:46,588 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 18:52:30,036 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 19:02:27,974 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 19:06:56,885 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 19:12:00,754 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 19:14:45,312 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 19:16:56,577 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category' | ' was added
2018-01-17 19:16:56,705 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - Book 'id=56, name='test_name_that_nobody_never_write', category='test_category' | ' was removed
2018-01-17 19:20:44,098 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category'' was added
2018-01-17 19:20:44,217 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - Book 'id=57, name='test_name_that_nobody_never_write', category='test_category'' was removed
2018-01-17 19:20:44,328 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category'' was added
2018-01-17 19:20:44,418 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - Book 'id=58, name='test_name_that_nobody_never_write', category='test_category'' was removed
2018-01-17 19:38:35,769 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category'' was added
2018-01-17 19:38:35,870 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - Book 'id=59, name='test_name_that_nobody_never_write', category='test_category'' was removed
2018-01-17 19:38:36,039 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category'' was added
2018-01-17 19:38:36,130 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - Book 'id=60, name='test_name_that_nobody_never_write', category='test_category'' was removed
2018-01-17 19:38:36,316 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - book 'id=0, name='test_name_that_nobody_never_write', category='test_category'' was added
2018-01-17 19:38:36,502 INFO com.fujitsu.internship.dao.pg.PostgreSQLConnector - Book 'id=61, name='test_name_that_nobody_never_write', category='test_category'' was removed
